,name,age,anual_salary,credit_card_number,credit_score,credit_limitation,transaction_status,partial_payment,credit_balance
0,Kylian Mbappé,30,2243900,4469166045790095,187,2885378,2035231,204,2035027
1,Erling Haaland,62,4015200,4404181833044165,496,7399452,6869268,0,6869268
2,Kevin De Bruyne,53,1612000,6256117018495183,313,3700709,888126,88813,799313
3,Lionel Messi,37,4509500,5910104057399827,424,6946687,5897568,58976,5838592
4,Karim Benzema,66,2194200,6706387783382719,470,5629187,3882799,389,3882410
5,Thibaut Courtois,46,778600,4787153470899439,216,2122116,808174,80818,727356
6,Harry Kane,39,660900,3309827474045573,179,1728661,1417412,142,1417270
7,Robert Lewandowski,35,1248500,8179186252892675,218,2353561,51457,515,50942
8,Mohamed Salah,58,3669700,7356971747235309,499,6641689,1102013,1103,1100910
9,Rúben Dias,52,985900,6074522592072106,257,2555206,437250,43725,393525
10,Vini Jr.,33,1339600,4850363064109935,197,2338389,766488,0,766488
11,Rodri,22,1293300,6472706999655031,114,1592281,34157,3416,30741
12,Neymar Jr,57,506200,8903623748396646,230,1853334,775102,0,775102
13,Marc-André ter Stegen,38,1356600,4592252075794159,178,2022687,486377,486377,0
14,Virgil van Dijk,44,3749800,9681383841937155,468,6728934,2396232,240,2395992
15,Alisson,67,2821100,5625667940121976,503,6202994,567920,567920,0
16,Casemiro,62,435500,4842500122570170,267,2150726,1592608,159261,1433347
17,Bruno Fernandes,59,2834500,7071928943480212,418,5371557,3088577,30886,3057691
18,Antoine Griezmann,61,3549700,3104624080046870,524,7264401,1101444,110145,991299
19,Victor Osimhen,52,4720400,8107955175422572,540,8487842,1004022,0,1004022
20,Bernardo Silva,26,609800,9604986909904369,76,747858,465386,46539,418847
21,Federico Valverde,33,3137400,9653428140618461,341,5071544,4699058,0,4699058
22,Ederson,58,1551800,5926121122865864,317,3597726,1612356,16124,1596232
23,Joshua Kimmich,50,1847200,9661748821217834,347,4055123,3378824,338,3378486
24,Jan Oblak,53,414500,6874838598199182,228,1871947,1781191,17812,1763379
25,Luka Modrić,23,318400,5206851397555333,52,349120,330025,3301,326724
26,Frenkie de Jong,40,4178900,6134404096285743,460,6619728,895553,0,895553
27,Lautaro Martínez,69,4006400,7295053650858080,572,8006395,7777165,0,7777165
28,Martin Ødegaard,63,3419800,7686553692321262,552,6632363,2336641,234,2336407
29,Mike Maignan,23,3601300,5785759953654015,296,4686816,3498784,34988,3463796
30,Marquinhos,61,518700,6038002463951014,234,1996604,807862,807862,0
31,Gregor Kobel,62,1500200,9310862430401953,350,3832334,110950,11095,99855
32,Heung Min Son,31,1654000,5214080867545928,158,2480892,1379501,1379501,0
33,Gianluigi Donnarumma,65,437000,4696258587314764,307,2570592,1089965,1089965,0
34,Manuel Neuer,27,510800,8004271703319746,55,534868,94832,949,93883
35,Ousmane Dembélé,65,2960200,9322954507793163,481,5840082,4311281,432,4310849
36,Bukayo Saka,63,981400,3641695356184924,342,3055959,1058006,106,1057900
37,Jude Bellingham,27,4296700,9077123561412954,398,5992833,3676360,0,3676360
38,Rafael Leão,52,1575600,4684242947662942,310,3412509,1294242,0,1294242
39,Pedri,70,1802400,5032788964441985,432,4560585,3998427,0,3998427
40,Matthijs de Ligt,29,1289500,4480948276787532,130,1741415,971667,972,970695
41,Sandro Tonali,70,3438300,5353460932801747,595,7436740,1829923,182993,1646930
42,Riyad Mahrez,45,3761100,7324391010748963,433,6047272,5275225,527523,4747702
43,Jamal Musiala,33,2543400,7334107846522814,280,4263444,2798703,279871,2518832
44,Nicolò Barella,48,712900,7545894092175135,189,1790272,475616,0,475616
